pest_id,crop,pest,life_stage,symptoms,affected_part,damage_type,peak_season,severity,description
1,Cotton,Thrips,Adult,Typical symptoms caused by Thrips,Stem,Fruit damage,Kharif,High,Thrips is a common pest affecting Cotton.
2,Soybean,Girdle Beetle,Adult,Typical symptoms caused by Girdle Beetle,Leaf,Leaf feeding,Rabi,Medium,Girdle Beetle is a common pest affecting Soybean.
3,Banana,Rhizome Weevil,Egg,Typical symptoms caused by Rhizome Weevil,Stem,Fruit damage,Kharif,Medium,Rhizome Weevil is a common pest affecting Banana.
4,Chilli,Aphid,Egg,Typical symptoms caused by Aphid,Whole Plant,Fruit damage,Rabi,Low,Aphid is a common pest affecting Chilli.
5,Maize,Corn Earworm,Adult,Typical symptoms caused by Corn Earworm,Stem,Stem boring,Kharif,Low,Corn Earworm is a common pest affecting Maize.
6,Tomato,Thrips,Egg,Typical symptoms caused by Thrips,Leaf,Defoliation,Kharif,Medium,Thrips is a common pest affecting Tomato.
7,Wheat,Brown Wheat Mite,Larva,Typical symptoms caused by Brown Wheat Mite,Root,Fruit damage,Summer,Low,Brown Wheat Mite is a common pest affecting Wheat.
8,Banana,Rhizome Weevil,Larva,Typical symptoms caused by Rhizome Weevil,Fruit,Fruit damage,Year-round,Medium,Rhizome Weevil is a common pest affecting Banana.
9,Potato,Potato Tuber Moth,Egg,Typical symptoms caused by Potato Tuber Moth,Whole Plant,Leaf feeding,Rabi,Low,Potato Tuber Moth is a common pest affecting Potato.
10,Maize,Stem Borer,Egg,Typical symptoms caused by Stem Borer,Stem,Stem boring,Rabi,Medium,Stem Borer is a common pest affecting Maize.
11,Potato,White Grub,Larva,Typical symptoms caused by White Grub,Stem,Defoliation,Summer,Medium,White Grub is a common pest affecting Potato.
12,Soybean,Stem Fly,Larva,Typical symptoms caused by Stem Fly,Whole Plant,Fruit damage,Summer,Medium,Stem Fly is a common pest affecting Soybean.
13,Maize,Fall Armyworm,Nymph,Typical symptoms caused by Fall Armyworm,Stem,Sap sucking,Year-round,Low,Fall Armyworm is a common pest affecting Maize.
14,Maize,Fall Armyworm,Larva,Typical symptoms caused by Fall Armyworm,Whole Plant,Root damage,Kharif,Low,Fall Armyworm is a common pest affecting Maize.
15,Banana,Banana Weevil,Larva,Typical symptoms caused by Banana Weevil,Fruit,Defoliation,Year-round,High,Banana Weevil is a common pest affecting Banana.
16,Chilli,Mite,Larva,Typical symptoms caused by Mite,Leaf,Sap sucking,Rabi,High,Mite is a common pest affecting Chilli.
17,Maize,Aphid,Nymph,Typical symptoms caused by Aphid,Leaf,Sap sucking,Summer,Medium,Aphid is a common pest affecting Maize.
18,Onion,Cutworm,Larva,Typical symptoms caused by Cutworm,Root,Leaf feeding,Kharif,Medium,Cutworm is a common pest affecting Onion.
19,Tomato,Spider Mite,Egg,Typical symptoms caused by Spider Mite,Stem,Fruit damage,Summer,Low,Spider Mite is a common pest affecting Tomato.
20,Maize,White Grub,Egg,Typical symptoms caused by White Grub,Stem,Stem boring,Rabi,High,White Grub is a common pest affecting Maize.
21,Cotton,Whitefly,Nymph,Typical symptoms caused by Whitefly,Whole Plant,Defoliation,Year-round,Medium,Whitefly is a common pest affecting Cotton.
