disease_id,crop,disease,disease_type,symptoms,affected_part,favorable_conditions,severity,spread_method,diagnosis
1,Tomato,Septoria Leaf Spot,Physiological,Typical symptoms observed for Septoria Leaf Spot,Panicle,Cool wet weather,High,Water,Likely Septoria Leaf Spot in Tomato
2,Chilli,Damping Off,Physiological,Typical symptoms observed for Damping Off,Root,Warm moist soil,Low,Seed,Likely Damping Off in Chilli
3,Rice,Sheath Blight,Bacterial,Typical symptoms observed for Sheath Blight,Whole Plant,Poor drainage,Medium,Insect,Likely Sheath Blight in Rice
4,Onion,Stemphylium Blight,Fungal,Typical symptoms observed for Stemphylium Blight,Stem,Poor drainage,Low,Soil,Likely Stemphylium Blight in Onion
5,Cotton,Bacterial Blight,Viral,Typical symptoms observed for Bacterial Blight,Leaf,Cool wet weather,High,Water,Likely Bacterial Blight in Cotton
6,Maize,Turcicum Leaf Blight,Physiological,Typical symptoms observed for Turcicum Leaf Blight,Fruit,20-30°C,Medium,Insect,Likely Turcicum Leaf Blight in Maize
7,Cotton,Root Rot,Viral,Typical symptoms observed for Root Rot,Leaf,Cool wet weather,Low,Air,Likely Root Rot in Cotton
8,Onion,Purple Blotch,Bacterial,Typical symptoms observed for Purple Blotch,Fruit,Dense canopy,Medium,Soil,Likely Purple Blotch in Onion
9,Soybean,Frogeye Leaf Spot,Bacterial,Typical symptoms observed for Frogeye Leaf Spot,Panicle,High humidity,Medium,Seed,Likely Frogeye Leaf Spot in Soybean
10,Soybean,Anthracnose,Physiological,Typical symptoms observed for Anthracnose,Panicle,Warm moist soil,High,Soil,Likely Anthracnose in Soybean
11,Soybean,Anthracnose,Fungal,Typical symptoms observed for Anthracnose,Root,Cool wet weather,Low,Air,Likely Anthracnose in Soybean
12,Wheat,Karnal Bunt,Physiological,Typical symptoms observed for Karnal Bunt,Panicle,Warm moist soil,High,Insect,Likely Karnal Bunt in Wheat
13,Onion,Purple Blotch,Bacterial,Typical symptoms observed for Purple Blotch,Panicle,Warm moist soil,Medium,Seed,Likely Purple Blotch in Onion
14,Banana,Panama Wilt,Bacterial,Typical symptoms observed for Panama Wilt,Whole Plant,Poor drainage,Low,Insect,Likely Panama Wilt in Banana
15,Banana,Panama Wilt,Bacterial,Typical symptoms observed for Panama Wilt,Stem,Warm humid weather,High,Soil,Likely Panama Wilt in Banana
16,Rice,Brown Spot,Fungal,Typical symptoms observed for Brown Spot,Stem,Warm moist soil,Low,Insect,Likely Brown Spot in Rice
17,Maize,Head Smut,Viral,Typical symptoms observed for Head Smut,Panicle,Warm humid weather,Low,Water,Likely Head Smut in Maize
18,Onion,Stemphylium Blight,Physiological,Typical symptoms observed for Stemphylium Blight,Root,High humidity,Low,Air,Likely Stemphylium Blight in Onion
