management_id,crop,growth_stage,activity,recommendation,frequency,priority,description
1,Maize,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Weekly,High,Land Preparation management practices for Maize.
2,Wheat,Grain Filling,Grain Filling,Maintain moisture until maturity.,As recommended,High,Grain Filling management practices for Wheat.
3,Soybean,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Critical growth stage,Low,Vegetative management practices for Soybean.
4,Cotton,Square Formation,Square Formation,Monitor bollworms and nutrient status.,Weekly,Low,Square Formation management practices for Cotton.
5,Banana,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Critical growth stage,Low,Vegetative management practices for Banana.
6,Potato,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Weekly,High,Vegetative management practices for Potato.
7,Chilli,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Every 15 days,High,Vegetative management practices for Chilli.
8,Onion,Transplanting,Transplanting,Transplant healthy seedlings at recommended spacing.,Once,High,Transplanting management practices for Onion.
9,Cotton,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Once,High,Vegetative management practices for Cotton.
10,Chilli,Fruiting,Fruiting,Support plants and monitor diseases.,As recommended,Medium,Fruiting management practices for Chilli.
11,Chilli,Vegetative,Vegetative,Apply balanced fertilizer and monitor weeds.,Weekly,Low,Vegetative management practices for Chilli.
12,Chilli,Nursery,Nursery,Maintain adequate moisture and healthy seedlings.,Critical growth stage,High,Nursery management practices for Chilli.
13,Soybean,Pod Filling,Pod Filling,Avoid water stress.,Once,High,Pod Filling management practices for Soybean.
14,Chilli,Flowering,Flowering,Avoid moisture stress and monitor pests.,Weekly,Medium,Flowering management practices for Chilli.
15,Tomato,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Once,High,Land Preparation management practices for Tomato.
16,Wheat,Land Preparation,Land Preparation,Plough field and incorporate organic manure.,Every 15 days,Low,Land Preparation management practices for Wheat.
17,Soybean,Sowing,Sowing,Use certified seeds at recommended spacing.,Weekly,High,Sowing management practices for Soybean.
18,Wheat,Harvest,Harvest,Harvest at physiological maturity.,Once,Medium,Harvest management practices for Wheat.
19,Banana,Planting,Planting,Maintain recommended spacing.,Weekly,High,Planting management practices for Banana.
20,Rice,Flowering,Flowering,Avoid moisture stress and monitor pests.,Critical growth stage,Low,Flowering management practices for Rice.
21,Tomato,Transplanting,Transplanting,Transplant healthy seedlings at recommended spacing.,Once,Low,Transplanting management practices for Tomato.
22,Chilli,Flowering,Flowering,Avoid moisture stress and monitor pests.,Every 15 days,High,Flowering management practices for Chilli.
23,Wheat,Harvest,Harvest,Harvest at physiological maturity.,Every 15 days,High,Harvest management practices for Wheat.
